iter	RMSE
0	76301.75122
1	74425.48201
2	72752.30178
3	70906.37998
4	69265.69125
5	67627.77967
6	65999.99551
7	64461.18994
8	63005.44591
9	61745.33376
10	60378.32556
11	58992.0702
12	57673.34422
13	56456.59383
14	55240.05395
15	54176.55318
16	53013.55636
17	51929.01979
18	50878.80661
19	49880.65552
20	49001.31054
21	48037.46475
22	47287.35716
23	46545.99265
24	45688.08498
25	45037.66929
26	44160.07962
27	43335.41036
28	42696.62511
29	41953.47338
30	41294.72569
31	40712.1294
32	40131.96044
33	39471.95875
34	38856.95
35	38336.47922
36	37825.51115
37	37334.61456
38	36797.11047
39	36309.1534
40	35868.41987
41	35397.42571
42	34957.15078
43	34489.89904
44	34036.04288
45	33630.44049
46	33252.33125
47	32822.87304
48	32432.74763
49	32029.3633
50	31677.68708
51	31408.5841
52	31126.08599
53	30833.65987
54	30512.34587
55	30214.36387
56	29859.98773
57	29544.93055
58	29292.47986
59	29019.37881
60	28771.94467
61	28554.80063
62	28303.15978
63	28084.12456
64	27865.86701
65	27626.59072
66	27412.25814
67	27212.35133
68	27005.93666
69	26840.43036
70	26669.87032
71	26464.32805
72	26255.41565
73	26022.90549
74	25769.22275
75	25575.4749
76	25411.92206
77	25265.15815
78	25088.29579
79	24940.62776
80	24800.20762
81	24645.42698
82	24452.36015
83	24284.00413
84	24126.80913
85	23995.97052
86	23853.76956
87	23702.41299
88	23566.0681
89	23439.44532
90	23334.77136
91	23283.92744
92	23142.97716
93	23009.88
94	22880.863
95	22767.67782
96	22731.31845
97	22614.68501
98	22489.97174
99	22415.46513
100	22322.58578
101	22248.31791
102	22165.19669
103	22077.80103
104	21974.11822
105	21886.59823
106	21790.81587
107	21710.99102
108	21619.26828
109	21523.39243
110	21458.85394
111	21359.00299
112	21269.64446
113	21200.55909
114	21107.00298
115	20996.11683
116	20914.41585
117	20811.46776
118	20742.21593
119	20661.81908
120	20584.96611
121	20499.23956
122	20429.63189
123	20348.6672
124	20280.9248
125	20202.48932
126	20147.24855
127	20077.4014
128	20023.60057
129	19954.87138
130	19846.72093
131	19791.52037
