iter	Passed	Remaining
0	1	1846
1	3	1893
2	5	1760
3	6	1703
4	8	1693
5	9	1615
6	10	1554
7	12	1520
8	13	1493
9	15	1485
10	16	1478
11	17	1460
12	18	1439
13	20	1424
14	21	1409
15	22	1410
16	24	1412
17	25	1393
18	27	1410
19	28	1392
20	29	1376
21	30	1377
22	32	1368
23	33	1369
24	34	1354
25	35	1337
26	36	1325
27	37	1312
28	39	1326
29	40	1320
30	41	1309
31	42	1299
32	44	1289
33	45	1284
34	46	1272
35	47	1263
36	48	1255
37	49	1250
38	50	1242
39	55	1337
40	56	1327
41	57	1318
42	58	1310
43	59	1301
44	60	1293
45	62	1288
46	63	1280
47	64	1271
48	65	1263
49	66	1257
50	67	1251
51	68	1244
52	69	1238
53	70	1231
54	71	1231
55	72	1224
56	73	1218
57	74	1212
58	75	1206
59	76	1201
60	77	1195
61	78	1189
62	79	1183
63	80	1178
64	81	1173
65	82	1168
66	83	1163
67	84	1158
68	95	1284
69	96	1281
70	97	1277
71	98	1274
72	100	1272
73	101	1270
74	102	1267
75	104	1264
76	105	1261
77	106	1257
78	107	1251
79	108	1245
80	109	1240
81	110	1235
82	111	1230
83	112	1225
84	113	1220
85	114	1214
86	115	1209
87	116	1204
88	117	1199
89	118	1194
90	119	1193
91	120	1185
92	121	1181
93	122	1176
94	123	1173
95	124	1168
96	125	1164
97	126	1160
98	127	1156
99	128	1152
100	129	1148
101	129	1144
102	130	1140
103	131	1136
104	132	1132
105	133	1128
106	134	1125
107	135	1121
108	136	1118
109	137	1115
110	138	1112
111	139	1109
112	140	1106
113	142	1104
114	143	1101
115	144	1098
116	145	1094
117	146	1091
118	147	1088
119	148	1085
120	148	1082
121	149	1079
122	150	1076
123	151	1072
124	152	1070
125	153	1067
126	154	1064
127	155	1062
128	157	1060
129	158	1057
130	159	1055
131	160	1052
132	161	1050
133	162	1047
134	163	1045
135	164	1043
136	165	1040
137	166	1037
138	167	1035
139	168	1032
140	169	1030
141	170	1028
142	171	1025
143	172	1022
144	173	1020
145	174	1018
146	174	1015
147	175	1013
148	176	1010
149	177	1008
150	178	1005
151	179	1003
152	180	1000
153	181	998
154	182	996
155	183	994
156	184	991
157	185	989
158	186	987
159	187	985
160	188	983
161	189	981
162	190	979
163	192	980
164	193	979
165	194	977
166	195	975
167	196	974
168	197	972
169	198	971
170	199	969
171	201	967
172	202	965
173	203	964
174	204	962
175	205	960
176	206	958
177	207	956
178	208	955
179	209	953
180	210	951
181	211	949
182	212	947
183	213	946
184	214	945
185	215	943
186	216	941
187	217	939
188	218	938
189	219	936
190	220	934
191	221	932
192	222	931
193	223	929
194	224	927
195	225	925
196	226	923
197	227	921
198	228	919
199	229	918
200	230	916
201	231	914
202	232	913
203	233	911
204	234	909
205	235	907
206	236	905
207	237	904
208	238	902
209	239	900
210	240	898
211	241	897
212	242	896
213	243	894
214	244	893
215	249	907
216	252	911
217	256	921
218	266	950
219	268	952
220	271	957
221	280	983
222	282	984
223	287	995
224	288	994
225	289	992
226	291	991
227	292	990
228	294	992
229	295	990
230	297	989
231	298	987
232	299	985
233	300	983
234	301	982
235	302	980
236	304	978
237	305	976
238	306	975
239	307	973
240	308	971
241	309	970
242	310	967
243	311	966
244	312	964
245	314	963
246	315	961
247	316	961
248	318	959
249	319	957
250	320	955
251	321	953
252	322	951
253	323	949
254	324	948
255	327	950
256	330	955
257	332	954
258	333	953
259	334	951
260	335	950
261	336	948
262	337	946
263	339	945
264	340	944
265	341	942
266	342	941
267	343	939
268	345	937
269	346	936
270	347	934
271	348	932
272	349	931
273	350	929
274	351	927
275	353	926
276	354	925
277	356	925
278	357	924
279	358	922
280	360	921
281	361	919
282	362	918
283	363	916
284	364	915
285	366	914
286	367	912
287	368	910
288	369	909
289	370	908
290	372	906
291	373	906
292	375	904
293	376	903
294	377	901
295	378	900
296	379	898
297	380	897
298	381	895
299	382	893
300	384	892
301	385	890
302	387	891
303	388	890
304	389	888
305	391	886
306	392	885
307	393	884
308	394	882
309	395	881
310	397	879
311	398	878
312	399	876
313	400	875
314	402	874
315	403	873
316	404	871
317	405	870
318	408	871
319	411	873
320	412	872
321	414	872
322	415	870
323	416	869
324	417	867
325	418	866
326	420	864
327	421	863
328	422	861
329	423	860
330	424	858
331	426	857
332	427	855
333	428	854
334	429	853
335	431	851
336	432	850
337	433	849
338	435	848
339	436	847
340	437	845
341	438	844
342	440	842
343	441	841
344	442	839
345	443	838
346	444	836
347	445	835
348	447	833
349	448	832
350	449	831
351	450	829
352	451	828
353	453	826
354	454	825
355	455	824
356	456	822
357	458	821
358	459	820
359	460	818
360	461	817
361	463	816
362	464	814
363	465	813
364	466	812
365	468	810
366	469	809
367	470	808
368	471	806
369	473	805
370	474	804
371	475	802
372	476	801
373	477	799
374	479	798
375	480	797
376	481	796
377	483	795
378	484	793
379	485	792
380	486	790
